20090707   2455020.49567 18.168  0.003   20.298  0.010   18.952  0.005  
20090707   2455020.49567 18.186  0.003   20.315  0.010   18.967  0.005  
20090716   2455029.53231 17.865  0.003   20.027  0.008   18.666  0.004  
20090719   2455032.49843 17.878  0.003   20.016  0.008   18.664  0.004  
20090723   2455036.51332 17.821  0.003   20.017  0.008   18.641  0.004  
20090727   2455040.45802 17.808  0.003   19.996  0.009   18.641  0.004  
20090804   2455048.47162 17.790  0.003   20.016  0.008   18.654  0.004  
20090811   2455055.46872 18.109  0.003   20.533  0.012   19.147  0.005  
20090814   2455058.47178 18.556  0.004   20.886  0.015   19.442  0.006  
20091207   2455173.84485 19.370  0.006   21.594  0.020   20.187  0.009  
20091208   2455174.84721 17.919  0.003   20.217  0.009   18.698  0.004  
20091211   2455177.84920 17.921  0.003   20.081  0.008   18.751  0.004  
20091212   2455178.83044 18.542  0.004   20.846  0.013   19.407  0.006  
20091213   2455179.84232 18.461  0.004   20.676  0.012   19.220  0.006  
20091214   2455180.84786 17.936  0.003   20.103  0.008   18.759  0.004  
20091216   2455182.82380 18.014  0.003   20.188  0.009   18.792  0.004  
20091218   2455184.82352 18.220  0.003   20.400  0.010   19.075  0.005  
20091219   2455185.81836 17.967  0.003   20.137  0.009   18.805  0.004  
20091221   2455187.83423 17.892  0.003   20.035  0.008   18.688  0.004  
20091222   2455188.81740 17.968  0.003   20.108  0.008   18.780  0.004  
20091223   2455189.82329 17.924  0.003   20.084  0.008   18.746  0.004  
20091226   2455192.82561 17.923  0.003   20.056  0.008   18.734  0.004  
20091227   2455193.82539 17.921  0.003   20.072  0.008   18.729  0.004  
20091229   2455195.82524 17.846  0.003   19.979  0.008   18.651  0.004  
20100102   2455199.82952 17.801  0.003   19.939  0.008   18.609  0.004  
20100107   2455204.85306 17.772  0.003   19.950  0.008   18.622  0.004  
20100108   2455205.84129 17.793  0.003   19.985  0.008   18.664  0.004  
20100110   2455207.85531 17.748  0.003   19.918  0.007   18.589  0.004  
20100112   2455209.85937 17.803  0.003   20.030  0.008   18.690  0.004  
20100113   2455210.85385 17.815  0.003   20.006  0.008   18.671  0.004  
20100114   2455211.82727 17.853  0.003   20.055  0.008   18.731  0.004  
20100115   2455212.84319 18.078  0.003   20.388  0.010   18.983  0.005  
20100116   2455213.82362 17.737  0.003   20.024  0.008   18.655  0.004  
20100117   2455214.82411 17.727  0.003   19.975  0.008   18.655  0.004  
20100119   2455216.80474 17.828  0.003   20.186  0.009   18.722  0.004  
20100120   2455217.79955 17.813  0.003   20.068  0.008   18.734  0.004  
20100121   2455218.87129 17.805  0.003   20.033  0.008   18.689  0.004  
20100122   2455219.83809 17.771  0.003   19.970  0.008   18.640  0.004  
20100125   2455222.81417 17.855  0.003   20.061  0.008   18.711  0.004  
20100126   2455223.81884 18.339  0.004   20.622  0.011   19.174  0.005  
20100127   2455224.80759 17.922  0.003   20.105  0.008   18.749  0.004  
20100128   2455225.83800 17.861  0.003   20.055  0.008   18.702  0.004  
20100129   2455226.80267 18.018  0.003   20.225  0.009   18.806  0.004  
20100130   2455227.87280 17.836  0.003   19.945  0.008   18.671  0.004  
20100131   2455228.83621 17.836  0.003   19.958  0.008   18.648  0.004  
20100203   2455231.81264 18.220  0.003   20.443  0.010   19.069  0.005  
20100205   2455233.81797 17.901  0.003   20.101  0.008   18.742  0.004  
20100206   2455234.82710 17.912  0.003   20.145  0.009   18.788  0.004  
20100208   2455236.80289 18.490  0.004   20.745  0.012   19.291  0.006  
20100210   2455238.76793 17.863  0.003   19.998  0.008   18.665  0.004  
20100211   2455239.77768 17.790  0.003   19.945  0.008   18.618  0.004  
20100213   2455241.80064 17.883  0.003   19.984  0.008   18.663  0.004  
20100214   2455242.79244 17.977  0.003   20.021  0.008   18.719  0.004  
20100216   2455244.79843 17.916  0.003   20.017  0.008   18.654  0.004  
20100221   2455249.81487 17.848  0.003   20.003  0.008   18.666  0.004  
20100223   2455251.83678 17.863  0.003   20.017  0.008   18.670  0.004  
20100225   2455253.72933 17.876  0.003   20.025  0.008   18.675  0.004  
20100226   2455254.72797 17.877  0.003   20.015  0.008   18.672  0.004  
20100227   2455255.73736 17.846  0.003   20.023  0.008   18.668  0.004  
20100228   2455256.76336 17.883  0.003   20.052  0.008   18.705  0.004  
20100302   2455258.77115 17.816  0.003   20.165  0.009   18.717  0.004  
20100304   2455260.76815 17.848  0.003   19.999  0.008   18.677  0.004  
20100306   2455262.70777 17.914  0.003   20.150  0.009   18.798  0.004  
20100308   2455264.76311 17.779  0.003   19.959  0.008   18.632  0.004  
20100310   2455266.76583 17.804  0.003   19.964  0.008   18.655  0.004  
20100312   2455268.75083 17.783  0.003   20.015  0.009   18.717  0.004  
20100313   2455269.74466 17.733  0.003   19.998  0.008   18.660  0.004  
20100314   2455270.61364 17.756  0.003   20.028  0.008   18.672  0.004  
20100314   2455270.81105 17.717  0.003   19.992  0.008   18.655  0.004  
20100316   2455272.74468 17.777  0.003   19.977  0.008   18.652  0.004  
20100318   2455274.79164 17.836  0.003   20.053  0.009   18.668  0.004  
20100320   2455276.77608 17.832  0.003   19.982  0.008   18.655  0.004  
20100323   2455279.75052 17.955  0.003   20.077  0.008   18.726  0.004  
20100325   2455281.71316 17.848  0.003   19.998  0.009   18.675  0.004  
20100327   2455283.63031 17.884  0.003   19.989  0.008   18.647  0.004  
20100328   2455284.72873 17.910  0.003   20.037  0.008   18.680  0.004  
20100330   2455286.64209 17.947  0.003   20.058  0.008   18.732  0.004  
20100401   2455288.68137 17.981  0.003   20.111  0.009   18.762  0.004  
20100403   2455290.74722 17.924  0.003   20.036  0.009   18.693  0.004  
20100405   2455292.61174 19.399  0.006   21.629  0.023   20.203  0.009  
20100408   2455295.66027 17.927  0.003   20.008  0.008   18.689  0.004  
20100409   2455296.61425 17.955  0.003   20.012  0.008   18.705  0.004  
20100410   2455297.66642 17.969  0.003   20.032  0.008   18.705  0.004  
20100412   2455299.60207 17.994  0.003   20.055  0.008   18.732  0.004  
20100416   2455303.57576 20.232  0.009   22.554  0.040   20.989  0.014  
20100418   2455305.60134 17.972  0.003   20.056  0.008   18.712  0.004  
20100420   2455307.59538 18.104  0.003   20.089  0.008   18.792  0.004  
20100426   2455313.58993 18.031  0.003   20.078  0.008   18.752  0.004  
20100428   2455315.56580 18.027  0.003   20.079  0.008   18.816  0.004  
20100429   2455316.66240 18.063  0.003   20.158  0.009   18.792  0.004  
20100430   2455317.67087 18.068  0.003   20.165  0.009   18.813  0.004  
20100503   2455320.55147 18.084  0.003   20.120  0.008   18.773  0.004  
20100506   2455323.55816 17.981  0.003   20.147  0.010   18.716  0.004  
20100509   2455326.53183 17.965  0.003   20.035  0.008   18.711  0.004  
20100511   2455328.49027 17.935  0.003   19.990  0.008   18.665  0.004  
20100521   2455338.53884 17.976  0.003   20.052  0.008   18.694  0.004  
20100524   2455341.57266 17.957  0.003   20.023  0.008   18.680  0.004  
20100526   2455343.51206 17.916  0.003   20.003  0.008   18.652  0.004  
20100529   2455346.60845 18.025  0.003   20.119  0.008   18.751  0.004  
20100530   2455347.53663 17.991  0.003   20.053  0.008   18.707  0.004  
20100531   2455348.52661 18.014  0.003   20.078  0.008   18.732  0.004  
20100602   2455350.53168 18.495  0.004   20.671  0.012   19.229  0.005  
20100604   2455352.62709 17.952  0.003   20.010  0.008   18.692  0.004  
20100606   2455354.51885 17.932  0.003   20.005  0.008   18.662  0.004  
20100608   2455356.56068 17.990  0.003   20.031  0.008   18.708  0.004  
20100617   2455365.54581 18.056  0.003   20.129  0.008   18.781  0.004  
20100625   2455373.56730 18.040  0.003   20.145  0.009   18.773  0.004  
20100627   2455375.49213 18.016  0.003   20.087  0.008   18.753  0.004  
20100629   2455377.51200 18.058  0.003   20.125  0.009   18.807  0.004  
20100702   2455380.48212 17.931  0.003   19.988  0.008   18.658  0.004  
20100708   2455386.49881 17.981  0.003   20.023  0.008   18.716  0.004  
20100710   2455388.47391 17.967  0.003   20.024  0.008   18.703  0.004  
20100713   2455391.45482 18.007  0.003   19.998  0.008   18.656  0.004  
20100715   2455393.49838 18.170  0.003   20.289  0.010   18.916  0.005  
20100725   2455403.46698 17.985  0.003   20.034  0.008   18.732  0.004  
20100731   2455409.48203 18.112  0.003   20.248  0.009   18.845  0.004  
20100803   2455412.46369 17.973  0.003   20.069  0.009   18.694  0.004  
20101212   2455543.85363 17.983  0.004   20.097  0.013   18.766  0.005  
20101229   2455560.86673 17.882  0.003   19.961  0.012   18.646  0.005  
20110102   2455564.82513 17.951  0.004   19.978  0.014   18.698  0.005  
20110105   2455567.83782 999.    999.    999.    999.    999.    999.   
20110108   2455570.85703 17.945  0.003   20.002  0.013   18.698  0.005  
20110110   2455572.85958 17.906  0.003   20.010  0.013   18.673  0.005  
20110112   2455574.82556 17.890  0.003   19.977  0.012   18.685  0.005  
20110116   2455578.82561 17.919  0.003   19.983  0.012   18.679  0.005  
20110117   2455579.84109 17.927  0.004   19.976  0.014   18.684  0.006  
20110120   2455582.86799 17.946  0.003   20.037  0.012   18.710  0.005  
20110124   2455586.86493 18.222  0.005   20.375  0.023   18.992  0.008  
20110126   2455588.85623 18.015  0.003   20.097  0.012   18.813  0.005  
20110127   2455589.81864 17.962  0.003   20.014  0.012   18.720  0.005  
20110129   2455591.82461 17.967  0.003   20.007  0.014   18.731  0.006  
20110131   2455593.86752 17.903  0.003   19.997  0.011   18.655  0.005  
